,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Srednekolymsk,RU,67.45,153.6833,23.97,89,91,1.81,overcast clouds
139,Troitsko-Pechorsk,RU,62.7084,56.1964,46.31,88,100,10.92,overcast clouds
140,Mezhdurechensk,RU,53.6942,88.0603,25.05,91,8,2.66,clear sky
141,Lagoa,PT,39.05,-27.9833,70.75,90,86,20.54,overcast clouds
142,San Carlos De Bariloche,AR,-41.1456,-71.3082,64.02,41,75,10.36,broken clouds
143,Saldanha,ZA,-33.0117,17.9442,60.85,81,14,11.03,few clouds
144,Broken Hill,AU,-31.95,141.4333,58.14,49,78,10.49,broken clouds
145,Biskamzha,RU,53.4497,89.5272,20.23,87,6,3.76,clear sky
146,Arnsberg,DE,51.3297,8.0071,55.89,89,61,4.32,broken clouds
147,Samarai,PG,-10.6167,150.6667,80.98,82,51,10.02,broken clouds
148,Tommot,RU,58.9564,126.2925,24.73,93,100,6.98,light snow
149,Korla,CN,41.7597,86.1469,48.88,21,22,12.73,few clouds
150,Georgetown,MY,5.4112,100.3354,82.33,87,20,5.99,few clouds
151,Kavieng,PG,-2.5744,150.7967,81.25,77,38,10.29,scattered clouds
152,Gat,IL,31.61,34.7642,80.4,100,0,2.21,clear sky
153,Celendin,PE,-6.8703,-78.1517,68.52,49,82,4.14,broken clouds
154,Albany,US,42.6001,-73.9662,57.78,71,77,9.57,broken clouds
155,Port-Gentil,GA,-0.7193,8.7815,78.76,83,75,11.5,broken clouds
156,Karratha,AU,-20.7377,116.8463,73.24,46,40,9.51,scattered clouds
157,Pangnirtung,CA,66.1451,-65.7125,33.8,60,40,12.66,scattered clouds
158,Leeton,AU,-34.5667,146.4,46.89,100,52,1.14,mist
159,Atambua,ID,-9.1061,124.8925,75.13,87,89,0.2,overcast clouds
160,Yataity,PY,-26.3667,-56.0667,79.18,36,11,7.07,few clouds
161,Dikson,RU,73.5069,80.5464,28.62,88,82,18.88,broken clouds
162,Constitucion,CL,-35.3333,-72.4167,61.95,68,20,7.52,few clouds
163,Ambulu,ID,-8.345,113.6058,76.24,91,97,0.89,overcast clouds
164,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,76,63,10.18,broken clouds
165,Marfino,RU,55.7028,37.3822,53.94,78,100,15.66,light intensity shower rain
166,Port Alfred,ZA,-33.5906,26.891,67.17,90,0,4.0,clear sky
167,Ilulissat,GL,69.2167,-51.1,33.82,60,75,3.44,broken clouds
168,Ravar,IR,31.2656,56.8055,74.17,25,0,4.63,clear sky
169,Chany,RU,55.3121,76.7647,32.58,63,7,0.85,clear sky
170,Carnarvon,AU,-24.8667,113.6333,66.78,59,1,16.02,clear sky
171,Moose Factory,CA,51.2585,-80.6094,48.2,53,0,11.5,clear sky
172,Kyabe,TD,9.4515,18.9449,78.85,79,38,4.21,scattered clouds
173,Muravlenko,RU,63.7898,74.523,32.97,72,96,15.57,overcast clouds
174,Oussouye,SN,12.485,-16.5469,87.98,80,90,2.68,moderate rain
175,Black River,JM,18.0264,-77.8487,85.35,70,69,9.13,broken clouds
176,Airai,TL,-8.9266,125.4092,61.84,92,76,1.23,broken clouds
177,Cururupu,BR,-1.8283,-44.8683,87.98,52,93,6.76,overcast clouds
178,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,82,71,14.38,broken clouds
179,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,86.7,19,52,7.85,broken clouds
180,Chuy,UY,-33.6971,-53.4616,67.15,48,1,7.4,clear sky
181,Port Hardy,CA,50.6996,-127.4199,51.98,100,100,3.44,fog
182,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.36,37,100,8.05,overcast clouds
183,Kahului,US,20.8947,-156.47,79.84,73,20,5.01,few clouds
184,Riviere-Au-Renard,CA,48.9957,-64.3971,50.29,57,9,19.08,clear sky
185,Okato,NZ,-39.2,173.8833,57.9,94,99,8.01,overcast clouds
186,Barcelos,PT,41.5388,-8.6151,76.84,64,89,4.92,overcast clouds
187,Kiama,AU,-34.6833,150.8667,53.01,91,8,3.27,clear sky
188,Grand Gaube,MU,-20.0064,57.6608,72.0,66,47,7.0,scattered clouds
189,Mackenzie,CA,55.2999,-123.1698,59.22,55,0,2.3,clear sky
190,Jamestown,US,42.097,-79.2353,59.52,72,40,11.5,scattered clouds
191,Scarborough,GB,54.2797,-0.4044,58.78,73,13,1.01,few clouds
192,Port Macquarie,AU,-31.4333,152.9167,46.89,83,1,6.69,clear sky
193,Fukue,JP,32.6881,128.8419,76.37,77,1,17.34,clear sky
194,Natal,BR,-5.795,-35.2094,88.02,62,75,16.11,broken clouds
195,Faanui,PF,-16.4833,-151.75,78.4,70,90,15.48,overcast clouds
196,Bozoum,CF,6.3193,16.3799,71.29,90,38,1.32,scattered clouds
197,Faya,SA,18.3851,42.4509,66.31,61,21,4.29,few clouds
198,Iqaluit,CA,63.7506,-68.5145,33.53,69,75,11.5,broken clouds
199,Belmonte,BR,-15.8631,-38.8828,78.87,76,41,5.46,scattered clouds
200,Loreto,MX,22.2667,-101.9667,73.17,20,42,9.24,scattered clouds
201,Bagdarin,RU,54.4333,113.6,20.44,56,81,4.03,broken clouds
202,Fortuna,US,40.5982,-124.1573,57.65,60,41,4.18,scattered clouds
203,Alofi,NU,-19.0595,-169.9187,71.49,73,71,6.91,broken clouds
204,Rovinj,HR,45.08,13.64,65.28,80,25,7.43,scattered clouds
205,Sabara,BR,-19.8864,-43.8067,93.42,35,40,5.75,scattered clouds
206,New Norfolk,AU,-42.7826,147.0587,49.71,83,100,1.7,overcast clouds
207,Bhag,PK,29.0415,67.8239,90.64,30,0,7.2,clear sky
208,Porto Da Folha,BR,-9.9172,-37.2783,90.14,29,2,15.1,clear sky
209,Horodnytsya,UA,50.807,27.3168,48.33,93,100,12.1,light rain
210,Shaunavon,CA,49.6501,-108.4181,51.58,66,74,10.18,broken clouds
211,Jiayuguan,CN,39.8167,98.3,40.42,36,87,8.55,overcast clouds
212,Saint Anthony,US,45.0205,-93.218,71.65,54,0,9.22,clear sky
213,Cape Canaveral,US,28.4058,-80.6048,88.07,54,0,8.05,clear sky
214,North Bend,US,43.4065,-124.2243,56.16,97,100,0.0,overcast clouds
215,Kichera,RU,55.9375,110.0997,25.3,74,98,2.1,overcast clouds
216,Luancheng,CN,37.8792,114.6517,66.36,89,95,4.16,overcast clouds
217,Butaritari,KI,3.0707,172.7902,81.07,79,98,15.46,light rain
218,Mabaruma,GY,8.2,-59.7833,88.66,55,96,6.6,overcast clouds
219,East London,ZA,-33.0153,27.9116,67.14,94,0,10.36,clear sky
220,Bardiyah,LY,31.7561,25.0865,76.01,64,0,25.55,clear sky
221,Sudbury,CA,46.49,-80.99,53.06,46,2,5.01,clear sky
222,Flinders,AU,-34.5833,150.8552,49.24,89,5,1.99,clear sky
223,Bay Roberts,CA,47.5999,-53.2648,52.34,49,94,5.01,overcast clouds
224,Campoverde,PE,-8.4753,-74.8058,89.29,30,48,1.21,scattered clouds
225,Nosy Varika,MG,-20.5833,48.5333,67.42,75,0,6.82,clear sky
226,Gashua,NG,12.871,11.0482,92.75,31,100,7.02,overcast clouds
227,Praxedis Guerrero,MX,31.3667,-106.0167,80.74,31,60,14.32,broken clouds
228,Ler,SS,8.3018,30.1418,73.72,82,29,0.58,scattered clouds
229,Pishin,PK,30.5803,66.9961,69.03,20,0,6.13,clear sky
230,Emiliano Zapata,MX,18.8333,-99.1833,79.66,48,27,4.38,scattered clouds
231,Tutoia,BR,-2.7619,-42.2744,83.75,69,16,16.04,few clouds
232,Beitbridge,ZW,-22.2167,30.0,83.59,25,0,10.09,clear sky
233,Saint-Philippe,RE,-21.3585,55.7679,69.39,74,41,11.14,scattered clouds
234,Yermekeyevo,RU,54.0761,53.6712,53.8,47,100,16.84,overcast clouds
235,Nanortalik,GL,60.1432,-45.2371,38.01,76,70,12.68,broken clouds
236,Lynn Haven,US,30.2455,-85.6483,83.97,42,0,6.91,clear sky
237,Altar,MX,30.7,-111.8167,85.05,37,14,7.23,few clouds
238,Chuka,KE,-0.3332,37.6459,67.23,58,97,0.81,overcast clouds
239,Tokur,RU,53.1333,132.9,30.18,95,100,5.23,overcast clouds
240,Waddan,LY,29.1614,16.139,83.68,46,0,19.19,clear sky
241,Urdoma,RU,61.7533,48.5442,51.67,98,100,6.82,overcast clouds
242,Sao Filipe,CV,14.8961,-24.4956,77.4,73,63,12.62,broken clouds
243,Goderich,CA,43.7501,-81.7165,60.91,38,1,11.5,clear sky
244,Sigiriya,LK,7.9518,80.7426,75.87,84,95,13.18,overcast clouds
245,Vostok,RU,46.4856,135.8833,47.23,95,21,5.59,few clouds
246,Haines Junction,CA,60.7522,-137.5108,42.75,56,98,6.91,overcast clouds
247,Bubaque,GW,11.2833,-15.8333,80.87,72,94,5.14,overcast clouds
248,Jiangyou,CN,31.7667,104.7167,73.49,86,75,3.44,broken clouds
249,San Patricio,US,28.017,-97.5169,86.16,34,64,9.26,broken clouds
250,Taksimo,RU,56.3444,114.8794,23.29,71,95,4.25,overcast clouds
251,Dingle,PH,10.9995,122.6711,76.5,92,99,6.24,overcast clouds
252,Yulara,AU,-25.2406,130.9889,65.32,74,33,7.99,scattered clouds
253,Honiara,SB,-9.4333,159.95,76.39,87,34,4.23,scattered clouds
254,Marawi,PH,7.9986,124.2928,69.08,92,97,3.09,overcast clouds
255,Qandala,SO,11.472,49.8728,86.61,57,49,7.74,scattered clouds
256,Palora,EC,-1.7,-77.9333,73.51,42,68,5.37,broken clouds
257,Saint-Pierre,RE,-21.3393,55.4781,69.48,68,75,12.66,broken clouds
258,Yeppoon,AU,-23.1333,150.7333,64.18,82,91,9.78,overcast clouds
259,Camacha,PT,33.0833,-16.3333,71.02,68,40,4.61,scattered clouds
260,Eydhafushi,MV,5.1033,73.0708,81.27,77,99,21.72,light rain
261,Hirado,JP,33.3597,129.5531,68.4,81,29,16.26,scattered clouds
262,Coahuayana,MX,18.7333,-103.6833,85.98,64,100,3.91,overcast clouds
263,Saint Paul,US,44.9444,-93.0933,72.28,52,75,9.22,broken clouds
264,Vila Velha,BR,-20.3297,-40.2925,84.15,76,0,17.27,clear sky
265,Belaya Gora,RU,68.5333,146.4167,20.1,85,87,2.24,overcast clouds
266,Sioux Lookout,CA,50.1001,-91.917,59.07,63,20,5.75,few clouds
267,Palestine,PS,31.9216,35.2033,71.94,81,0,4.63,clear sky
268,Saint-Francois,FR,46.4154,3.9054,65.64,68,100,3.44,overcast clouds
269,Tiksi,RU,71.6872,128.8694,24.67,88,100,12.55,overcast clouds
270,Gualaquiza,EC,-3.4,-78.55,80.65,44,78,4.79,light rain
271,Leshukonskoye,RU,64.8989,45.7622,39.85,96,100,4.43,overcast clouds
272,Anadyr,RU,64.75,177.4833,27.1,86,0,6.71,clear sky
273,Westlock,CA,54.1502,-113.8688,72.1,37,4,6.93,clear sky
274,Esna,EG,25.2934,32.554,91.42,11,0,10.6,clear sky
275,Giddarbaha,IN,30.2,74.6667,78.73,39,0,2.1,clear sky
276,Russell,US,32.3502,-85.1999,79.88,47,0,10.36,clear sky
277,Hambantota,LK,6.1241,81.1185,79.83,79,100,21.54,overcast clouds
278,Svobodnyy,RU,51.4,128.1333,35.35,64,100,10.67,overcast clouds
279,Acapulco,MX,16.8634,-99.8901,82.85,76,67,4.29,broken clouds
280,Dudinka,RU,69.4058,86.1778,29.62,78,92,12.66,overcast clouds
281,Harper,LR,4.375,-7.7169,77.41,84,78,7.43,broken clouds
282,Mana,GF,5.6592,-53.7767,86.59,63,25,10.8,scattered clouds
283,Lethem,GY,3.3803,-59.7968,90.61,50,34,2.17,scattered clouds
284,Matamoros,MX,25.5333,-103.25,72.1,47,100,4.38,overcast clouds
285,Pitimbu,BR,-7.4706,-34.8086,81.19,69,50,13.8,scattered clouds
286,Iroquois Falls,CA,48.7669,-80.6831,49.96,42,25,3.13,scattered clouds
287,Parabel,RU,58.6978,81.4825,27.97,88,20,5.44,few clouds
288,Abu Kamal,SY,34.4506,40.9171,85.93,16,0,10.31,clear sky
289,Boddam,GB,57.4667,-1.7833,57.58,74,94,12.59,overcast clouds
290,Revda,RU,56.801,59.9303,41.13,85,95,5.75,overcast clouds
291,Shingu,JP,33.7333,135.9833,69.71,81,80,6.31,broken clouds
292,Ostrov,RU,57.3439,28.3537,40.73,83,100,5.97,overcast clouds
293,Butia,BR,-30.1197,-51.9622,70.11,56,71,3.09,broken clouds
294,Minna,NG,9.6139,6.5569,82.11,69,20,3.44,few clouds
295,New Castle,US,41.0037,-80.347,66.18,60,20,11.5,few clouds
296,Bani,DO,18.2833,-70.3333,83.86,63,73,7.99,broken clouds
297,Kruisfontein,ZA,-34.0033,24.7314,65.88,93,0,5.93,clear sky
298,Kokopo,PG,-4.352,152.2633,75.65,84,15,4.47,few clouds
299,Hovd,MN,48.0056,91.6419,22.77,42,0,2.84,clear sky
300,Acari,PE,-15.4311,-74.6158,76.89,50,65,10.42,broken clouds
301,Segovia,ES,41.1667,-4.0,68.41,26,37,3.51,scattered clouds
302,Panlaitan,PH,12.1191,119.8486,82.36,74,69,3.33,broken clouds
303,Stabat,ID,3.761,98.4513,79.0,98,100,1.95,overcast clouds
304,Cascais,PT,38.6979,-9.4215,85.86,28,0,3.44,clear sky
305,Vanimo,PG,-2.6741,141.3028,76.6,91,77,5.41,broken clouds
306,Burns Lake,CA,54.2331,-125.7533,51.22,67,94,2.93,overcast clouds
307,Iramuco,MX,19.95,-100.9167,76.14,49,78,2.24,broken clouds
308,La Ronge,CA,55.1001,-105.2842,66.45,45,20,12.66,few clouds
309,Vuktyl,RU,63.8567,57.3094,44.67,90,100,12.84,light rain
310,Abu Samrah,SY,35.3029,37.1841,80.1,36,19,8.32,few clouds
311,Isangel,VU,-19.55,169.2667,75.58,85,72,6.42,broken clouds
312,Goias,BR,-15.5807,-49.6362,95.14,25,87,7.16,overcast clouds
313,Ulaangom,MN,49.9811,92.0667,26.53,56,0,2.44,clear sky
314,College,US,64.8569,-147.8028,39.29,93,100,3.44,mist
315,Pechenga,RU,69.5259,31.1703,38.61,97,100,8.1,overcast clouds
316,Kwale,NG,5.7063,6.4374,75.18,91,89,4.21,overcast clouds
317,Stokmarknes,NO,68.5646,14.9108,48.18,76,75,2.3,broken clouds
318,Bismarck,US,46.8083,-100.7837,59.86,77,75,0.0,broken clouds
319,Porto Novo,BJ,6.4965,2.6036,78.62,83,88,7.45,overcast clouds
320,Redwater,US,33.3582,-94.2544,79.92,39,0,6.4,clear sky
321,Padampur,IN,29.6833,73.6167,85.42,29,0,8.1,clear sky
322,Talnakh,RU,69.4865,88.3972,29.21,95,93,9.26,overcast clouds
323,Kasongo-Lunda,CD,-6.4667,16.8167,72.46,92,56,3.56,light rain
324,Rocha,UY,-34.4833,-54.3333,69.26,48,0,8.66,clear sky
325,Klyuchi,RU,52.2667,79.1667,33.46,64,22,6.62,few clouds
326,Bestobe,KZ,52.4994,73.0975,36.57,55,6,7.99,clear sky
327,San Quintin,MX,30.4833,-115.95,71.2,70,82,10.94,broken clouds
328,Kirkwood,US,38.5834,-90.4068,74.77,54,0,5.99,clear sky
329,Porto Velho,BR,-8.7619,-63.9039,89.65,51,40,3.44,scattered clouds
330,Ust-Uda,RU,54.1742,103.0304,29.71,86,100,9.19,overcast clouds
331,Fuyang,CN,32.9,115.8167,78.91,73,31,5.5,scattered clouds
332,Hami,CN,42.8,93.45,43.61,18,1,6.13,clear sky
333,Hun,LY,29.1268,15.9477,83.86,45,0,19.13,clear sky
334,Rawah,IQ,34.4816,41.9093,84.52,15,0,6.29,clear sky
335,Axim,GH,4.8699,-2.2405,76.89,84,49,6.64,scattered clouds
336,Brigantine,US,39.4101,-74.3646,61.02,94,100,23.02,mist
337,Saskylakh,RU,71.9167,114.0833,25.07,94,100,14.27,light snow
338,Dodge City,US,37.7528,-100.0171,80.69,27,0,11.01,clear sky
339,Gizo,SB,-8.103,156.8419,81.41,76,54,3.78,light rain
340,Kluang,MY,2.0251,103.3328,74.1,96,100,1.12,overcast clouds
341,Clarence Town,AU,-32.5833,151.7833,54.86,95,1,2.3,clear sky
342,Kaeo,NZ,-35.1,173.7833,57.33,95,99,10.2,overcast clouds
343,Santa Maria,BR,-29.6842,-53.8069,69.1,56,75,10.36,broken clouds
344,Kishtwar,IN,33.3167,75.7667,57.78,54,4,4.61,clear sky
345,Peniche,PT,39.3558,-9.3811,80.08,73,0,14.81,clear sky
346,Kletskaya,RU,49.3145,43.0584,72.34,48,99,19.69,overcast clouds
347,Richards Bay,ZA,-28.783,32.0377,70.25,94,2,3.91,clear sky
348,Caravelas,BR,-17.7125,-39.2481,80.01,65,66,10.69,broken clouds
