,City,Country,Max Temp,Humidity,Current Description,Lat,Lng,Hotel Name
331,Fuyang,CN,78.91,73,scattered clouds,32.9,115.8167,Fuyang Wanda Realm Hotel
333,Hun,LY,83.86,45,clear sky,29.1268,15.9477,Alrwasi Hotel
334,Rawah,IQ,84.52,15,clear sky,34.4816,41.9093,عمر
335,Axim,GH,76.89,84,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
338,Dodge City,US,80.69,27,clear sky,37.7528,-100.0171,Windsor Inn & Suites
339,Gizo,SB,81.41,76,light rain,-8.103,156.8419,Imagination Island
345,Peniche,PT,80.08,73,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
348,Caravelas,BR,80.01,65,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
351,Itoman,JP,80.62,80,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
354,Katobu,ID,75.4,94,overcast clouds,-4.9408,122.5276,La Ode Husein
358,Sarangani,PH,83.53,74,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
359,Lodwar,KE,87.58,30,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
361,Ocos,GT,86.18,77,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
366,Santo Antonio Do Ica,BR,78.13,92,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
368,San Pedro De Macoris,DO,88.41,78,overcast clouds,18.4616,-69.2972,Apartahotel Guaraguao
370,Bonfim,BR,91.8,46,scattered clouds,3.0833,-59.95,
373,Cove,BJ,76.41,88,moderate rain,7.221,2.3402,TG Hôtel
374,Iranshahr,IR,89.94,25,clear sky,27.2025,60.6848,نیک سرشت
376,Makakilo City,US,76.98,90,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
377,Bawku,GH,79.52,77,scattered clouds,11.0616,-0.2417,Ultimate Guest House
380,Pasni,PK,79.48,84,clear sky,25.2631,63.471,Kashmiri Hotal
386,North Platte,US,81.12,33,broken clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
389,Cusuna,HN,81.81,64,overcast clouds,15.85,-85.2333,San Francisco de la paz
